Location (from NCBI, GRCh38 (hg38))	Cyto Location	Gene	Dosage Data	Gene Name	Gene MIM#	Phenotype	Inheritance	Phenotype MIM#	Chromosome	Start	End
chr11:44,260,440-44,310,139	11p11.2	ALX4	Yes	ALX homeobox 4	605420	Parietal foramina 2	Autosomal dominant	609597	chr11	44260440	44310139
chr11:45,885,651-45,906,465	11p11.2	MAPK8IP1	Yes	mitogen-activated protein kinase 8 interacting protein 1	604641	{Diabetes mellitus, noninsulin-dependent}	Autosomal dominant	125853	chr11	45885651	45906465
chr11:45,929,319-46,121,454	11p11.2	PHF21A	Yes	PHD finger protein 21A	608325	Intellectual developmental disorder with behavioral abnormalities and craniofacial dysmorphism with or without seizures	Autosomal dominant	618725	chr11	45929319	46121454
chr11:46,701,031-46,705,912	11p11.2	ZNF408	Yes	zinc finger protein 408	616454	?Exudative vitreoretinopathy 6	Autosomal dominant	616468	chr11	46701031	46705912
chr11:46,701,031-46,705,912	11p11.2	ZNF408	Yes	zinc finger protein 408	616454	Retinitis pigmentosa 72	Autosomal recessive	616469	chr11	46701031	46705912
chr11:46,719,213-46,739,506	11p11.2	F2	Yes	coagulation factor II, thrombin	176930	{Pregnancy loss, recurrent, susceptibility to, 2}	Autosomal dominant	614390	chr11	46719213	46739506
chr11:46,719,213-46,739,506	11p11.2	F2	Yes	coagulation factor II, thrombin	176930	{Stroke, ischemic, susceptibility to}	Multifactorial	601367	chr11	46719213	46739506
chr11:46,719,213-46,739,506	11p11.2	F2	Yes	coagulation factor II, thrombin	176930	Dysprothrombinemia	Autosomal recessive	613679	chr11	46719213	46739506
chr11:46,719,213-46,739,506	11p11.2	F2	Yes	coagulation factor II, thrombin	176930	Hypoprothrombinemia	Autosomal recessive	613679	chr11	46719213	46739506
chr11:46,719,213-46,739,506	11p11.2	F2	Yes	coagulation factor II, thrombin	176930	Thrombophilia 1 due to thrombin defect	Autosomal dominant	188050	chr11	46719213	46739506
chr11:46,856,717-46,918,550	11p11.2	LRP4	Yes	LDL receptor related protein 4	604270	?Myasthenic syndrome, congenital, 17	Autosomal recessive	616304	chr11	46856717	46918550
chr11:46,856,717-46,918,550	11p11.2	LRP4	Yes	LDL receptor related protein 4	604270	Cenani-Lenz syndactyly syndrome	Autosomal recessive	212780	chr11	46856717	46918550
chr11:46,856,717-46,918,550	11p11.2	LRP4	Yes	LDL receptor related protein 4	604270	Sclerosteosis 2	Autosomal dominant, Autosomal recessive	614305	chr11	46856717	46918550
chr11:47,331,406-47,352,702	11p11.2	MYBPC3	Yes	myosin binding protein C3	600958	Cardiomyopathy, dilated, 1MM	Autosomal dominant	615396	chr11	47331406	47352702
chr11:47,331,406-47,352,702	11p11.2	MYBPC3	Yes	myosin binding protein C3	600958	Cardiomyopathy, hypertrophic, 4	Autosomal dominant, Autosomal recessive	115197	chr11	47331406	47352702
chr11:47,331,406-47,352,702	11p11.2	MYBPC3	Yes	myosin binding protein C3	600958	Left ventricular noncompaction 10	Autosomal dominant	615396	chr11	47331406	47352702
chr11:47,354,860-47,378,547	11p11.2	SPI1	Yes	Spi-1 proto-oncogene	165170	Agammaglobulinemia 10, autosomal dominant	Autosomal dominant	619707	chr11	47354860	47378547
chr11:55,800,001-63,600,000 (I)	11q12	SCA20	Yes	Spinocerebellar ataxia 20 (chromosome 11q12 duplication syndrome, 260kb)	608687	Spinocerebellar ataxia 20	Autosomal dominant	608687	chr11	55800001	63600000 
chr11:57,597,685-57,614,848	11q12.1	SERPING1	Yes	serpin family G member 1	606860	Angioedema, hereditary, 1 and 2	Autosomal dominant, Autosomal recessive	106100	chr11	57597685	57614848
chr11:57,597,685-57,614,848	11q12.1	SERPING1	Yes	serpin family G member 1	606860	Complement component 4, partial deficiency of	Autosomal dominant	120790	chr11	57597685	57614848
chr11:57,761,802-57,819,540	11q12.1	CTNND1	Yes	catenin delta 1	601045	Blepharocheilodontic syndrome 2	Autosomal dominant	617681	chr11	57761802	57819540
chr11:59,107,237-59,127,412	11q12.1	FAM111B	Yes	FAM111 trypsin like peptidase B	615584	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis	Autosomal dominant	615704	chr11	59107237	59127412
chr11:59,142,856-59,155,039	11q12.1	FAM111A	Yes	FAM111 trypsin like peptidase A	615292	Gracile bone dysplasia	Autosomal dominant	602361	chr11	59142856	59155039
chr11:59,142,856-59,155,039	11q12.1	FAM111A	Yes	FAM111 trypsin like peptidase A	615292	Kenny-Caffey syndrome, type 2	Autosomal dominant	127000	chr11	59142856	59155039
chr11:59,208,510-59,212,927	11q12.1	MPEG1	Yes	macrophage expressed 1	610390	Immunodeficiency 77	Autosomal dominant	619223	chr11	59208510	59212927
chr11:61,299,451-61,333,105	11q12.2	DDB1	Yes	damage specific DNA binding protein 1	600045	White-Kernohan syndrome	Autosomal dominant	619426	chr11	61299451	61333105
chr11:61,430,124-61,446,733	11q12.2	SDHAF2	Yes	succinate dehydrogenase complex assembly factor 2	613019	Pheochromocytoma/paraganglioma syndrome 2	Autosomal dominant	601650	chr11	61430124	61446733
chr11:61,680,391-61,747,001	11q12.2	DAGLA	Yes	diacylglycerol lipase alpha	614015	Neuroocular syndrome 2, paroxysmal type	Autosomal dominant	168885	chr11	61680391	61747001
chr11:61,752,636-61,788,518	11q12.2	MYRF	Yes	myelin regulatory factor	608329	Cardiac-urogenital syndrome	Autosomal dominant	618280	chr11	61752636	61788518
chr11:61,752,636-61,788,518	11q12.2	MYRF	Yes	myelin regulatory factor	608329	Encephalitis/encephalopathy, mild, with reversible myelin vacuolization	Autosomal dominant	618113	chr11	61752636	61788518
chr11:61,949,821-61,965,515	11q12.3	BEST1	Yes	bestrophin 1	607854	?Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 2	Autosomal dominant	193220	chr11	61949821	61965515
chr11:61,949,821-61,965,515	11q12.3	BEST1	Yes	bestrophin 1	607854	Bestrophinopathy, autosomal recessive	Autosomal dominant	611809	chr11	61949821	61965515
chr11:61,949,821-61,965,515	11q12.3	BEST1	Yes	bestrophin 1	607854	Macular dystrophy, vitelliform, 2	Autosomal dominant	153700	chr11	61949821	61965515
chr11:61,949,821-61,965,515	11q12.3	BEST1	Yes	bestrophin 1	607854	Retinitis pigmentosa-50	Autosomal dominant	613194	chr11	61949821	61965515
chr11:61,949,821-61,965,515	11q12.3	BEST1	Yes	bestrophin 1	607854	Retinitis pigmentosa, concentric	Autosomal dominant	613194	chr11	61949821	61965515
chr11:61,949,821-61,965,515	11q12.3	BEST1	Yes	bestrophin 1	607854	Vitreoretinochoroidopathy	Autosomal dominant	193220	chr11	61949821	61965515
chr11:61,964,285-61,967,634	11q12.3	FTH1	Yes	ferritin heavy chain 1	134770	?Hemochromatosis, type 5	Autosomal dominant	615517	chr11	61964285	61967634
chr11:61,964,285-61,967,634	11q12.3	FTH1	Yes	ferritin heavy chain 1	134770	Neurodegeneration with brain iron accumulation 9	Autosomal dominant	620669	chr11	61964285	61967634
chr11:62,613,257-62,615,116	11q12.3	ROM1	Yes	retinal outer segment membrane protein 1	180721	Retinitis pigmentosa 7, digenic form	Autosomal dominant, Autosomal recessive, Digenic dominant	608133	chr11	62613257	62615116
chr11:62,624,829-62,646,613	11q12.3	GANAB	Yes	glucosidase II alpha subunit	104160	Polycystic kidney disease 3	Autosomal dominant	600666	chr11	62624829	62646613
chr11:62,690,262-62,709,537	11q12.3	BSCL2	Yes	BSCL2 lipid droplet biogenesis associated, seipin	606158	Encephalopathy, progressive, with or without lipodystrophy	Autosomal recessive	615924	chr11	62690262	62709537
chr11:62,690,262-62,709,537	11q12.3	BSCL2	Yes	BSCL2 lipid droplet biogenesis associated, seipin	606158	Lipodystrophy, congenital generalized, type 2	Autosomal recessive	269700	chr11	62690262	62709537
chr11:62,690,262-62,709,537	11q12.3	BSCL2	Yes	BSCL2 lipid droplet biogenesis associated, seipin	606158	Neuronopathy, distal hereditary motor, autosomal dominant 13	Autosomal dominant	619112	chr11	62690262	62709537
chr11:62,690,262-62,709,537	11q12.3	BSCL2	Yes	BSCL2 lipid droplet biogenesis associated, seipin	606158	Silver spastic paraplegia syndrome	Autosomal dominant	270685	chr11	62690262	62709537
chr11:63,600,001-77,400,000	11q13	OTDD	Yes	Otodental dysplasia (chromosome 11q13 deletion syndrome)	166750	Otodental dysplasia chromosome deletion syndrome	Autosomal dominant	166750	chr11	63600001	77400000
chr11:63,624,087-63,671,974	11q13.1	ATL3	Yes	atlastin GTPase 3	609369	Neuropathy, hereditary sensory, type IF	Autosomal dominant	615632	chr11	63624087	63671974
chr11:64,291,302-64,300,031	11q13.1	KCNK4	Yes	potassium two pore domain channel subfamily K member 4	605720	Facial dysmorphism, hypertrichosis, epilepsy, intellectual/developmental delay, and gingival overgrowth syndrome	Autosomal dominant	618381	chr11	64291302	64300031
chr11:64,803,516-64,811,294	11q13.1	MEN1	Yes	menin 1	613733	Adrenal adenoma, somatic	Autosomal dominant	618381	chr11	64803516	64811294
chr11:64,803,516-64,811,294	11q13.1	MEN1	Yes	menin 1	613733	Angiofibroma, somatic	Autosomal dominant	618381	chr11	64803516	64811294
chr11:64,803,516-64,811,294	11q13.1	MEN1	Yes	menin 1	613733	Carcinoid tumor of lung	Autosomal dominant	618381	chr11	64803516	64811294
chr11:64,803,516-64,811,294	11q13.1	MEN1	Yes	menin 1	613733	Lipoma, somatic	Autosomal dominant	618381	chr11	64803516	64811294
chr11:64,803,516-64,811,294	11q13.1	MEN1	Yes	menin 1	613733	Multiple endocrine neoplasia 1	Autosomal dominant	131100	chr11	64803516	64811294
chr11:64,803,516-64,811,294	11q13.1	MEN1	Yes	menin 1	613733	Parathyroid adenoma, somatic	Autosomal dominant	131100	chr11	64803516	64811294
chr11:65,014,160-65,022,184	11q13.1	ARL2	Yes	ADP ribosylation factor like GTPase 2	601175	?Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 1	Autosomal dominant	619082	chr11	65014160	65022184
chr11:65,333,852-65,354,262	11q13.1	DPF2	Yes	double PHD fingers 2	601671	Coffin-Siris syndrome 7	Autosomal dominant	618027	chr11	65333852	65354262
chr11:65,538,559-65,558,359	11q13.1	LTBP3	Yes	latent transforming growth factor beta binding protein 3	602090	Dental anomalies and short stature	Autosomal recessive	601216	chr11	65538559	65558359
chr11:65,538,559-65,558,359	11q13.1	LTBP3	Yes	latent transforming growth factor beta binding protein 3	602090	Geleophysic dysplasia 3	Autosomal dominant	617809	chr11	65538559	65558359
chr11:65,653,601-65,663,857	11q13.1	RELA	Yes	RELA proto-oncogene, NF-kB subunit	164014	Autoinflammatory disease, familial, Behcet-like-3	Autosomal dominant	618287	chr11	65653601	65663857
chr11:65,712,018-65,719,604	11q13.1	KAT5	Yes	lysine acetyltransferase 5	601409	Neurodevelopmental disorder with dysmorphic facies, sleep disturbance, and brain abnormalities	Autosomal dominant	619103	chr11	65712018	65719604
chr11:66,052,364-66,069,308	11q13.1	SF3B2	Yes	splicing factor 3b subunit 2	605591	Craniofacial microsomia	Autosomal dominant	164210	chr11	66052364	66069308
chr11:66,070,272-66,244,744	11q13.1-q13.2	PACS1	Yes	phosphofurin acidic cluster sorting protein 1	607492	Schuurs-Hoeijmakers syndrome	Autosomal dominant	615009	chr11	66070272	66244744
chr11:66,291,894-66,296,664	11q13.2	TMEM151A	Yes	transmembrane protein 151A	620108	Episodic kinesigenic dyskinesia 3	Autosomal dominant	620245	chr11	66291894	66296664
chr11:66,682,497-66,744,682	11q13.2	SPTBN2	Yes	spectrin beta, non-erythrocytic 2	604985	Spinocerebellar ataxia 5	Autosomal dominant	600224	chr11	66682497	66744682
chr11:66,682,497-66,744,682	11q13.2	SPTBN2	Yes	spectrin beta, non-erythrocytic 2	604985	Spinocerebellar ataxia, autosomal recessive 14	Autosomal recessive	615386	chr11	66682497	66744682
chr11:67,483,026-67,491,103	11q13.2	AIP	Yes	aryl hydrocarbon receptor interacting protein	605555	Pituitary adenoma 1, multiple types	Autosomal dominant, Somatic mutation	102200	chr11	67483026	67491103
chr11:67,483,026-67,491,103	11q13.2	AIP	Yes	aryl hydrocarbon receptor interacting protein	605555	Pituitary adenoma predisposition	Autosomal dominant, Somatic mutation	102200	chr11	67483026	67491103
chr11:68,154,863-68,213,648	11q13.2	KMT5B	Yes	lysine methyltransferase 5B	610881	Intellectual developmental disorder, autosomal dominant 51	Autosomal dominant	617788	chr11	68154863	68213648
chr11:68,298,412-68,449,275	11q13.2	LRP5	Yes	LDL receptor related protein 5	603506	[Bone mineral density variability 1]	Autosomal dominant	601884	chr11	68298412	68449275
chr11:68,298,412-68,449,275	11q13.2	LRP5	Yes	LDL receptor related protein 5	603506	Endosteal hyperostosis	Autosomal dominant	144750	chr11	68298412	68449275
chr11:68,298,412-68,449,275	11q13.2	LRP5	Yes	LDL receptor related protein 5	603506	Exudative vitreoretinopathy 4	Autosomal dominant, Autosomal recessive	601813	chr11	68298412	68449275
chr11:68,298,412-68,449,275	11q13.2	LRP5	Yes	LDL receptor related protein 5	603506	Osteopetrosis, autosomal dominant 1	Autosomal dominant	607634	chr11	68298412	68449275
chr11:68,298,412-68,449,275	11q13.2	LRP5	Yes	LDL receptor related protein 5	603506	Osteoporosis-pseudoglioma syndrome	Autosomal recessive	259770	chr11	68298412	68449275
chr11:68,298,412-68,449,275	11q13.2	LRP5	Yes	LDL receptor related protein 5	603506	Polycystic liver disease 4 with or without kidney cysts	Autosomal dominant	617875	chr11	68298412	68449275
chr11:68,684,544-68,691,175	11q13.2	GAL	Yes	galanin and GMAP prepropeptide	137035	?Epilepsy, familial temporal lobe, 8	Autosomal dominant	616461	chr11	68684544	68691175
chr11:69,641,156-69,654,474	11q13.3	CCND1	Yes	cyclin D1	168461	{Colorectal cancer, susceptibility to}	Autosomal dominant, Somatic mutation	114500	chr11	69641156	69654474
chr11:69,641,156-69,654,474	11q13.3	CCND1	Yes	cyclin D1	168461	{Multiple myeloma, susceptibility to}	Somatic mutation	254500	chr11	69641156	69654474
chr11:69,641,156-69,654,474	11q13.3	CCND1	Yes	cyclin D1	168461	{von Hippel-Lindau syndrome, modifier of}	Autosomal dominant	193300	chr11	69641156	69654474
chr11:69,965,997-70,189,530	11q13.3	ANO1	Yes	anoctamin 1	610108	?Intestinal dysmotility syndrome	Autosomal recessive	620045	chr11	69965997	70189530
chr11:69,965,997-70,189,530	11q13.3	ANO1	Yes	anoctamin 1	610108	Moyamoya disease 7	Autosomal dominant, Autosomal recessive	620687	chr11	69965997	70189530
chr11:72,285,495-72,434,531	11q13.4	CLPB	Yes	ClpB family mitochondrial disaggregase	616254	3-methylglutaconic aciduria, type VIIA, autosomal dominant	Autosomal dominant	619835	chr11	72285495	72434531
chr11:72,285,495-72,434,531	11q13.4	CLPB	Yes	ClpB family mitochondrial disaggregase	616254	3-methylglutaconic aciduria, type VIIB, autosomal recessive	Autosomal recessive	616271	chr11	72285495	72434531
chr11:72,285,495-72,434,531	11q13.4	CLPB	Yes	ClpB family mitochondrial disaggregase	616254	Neutropenia, severe congenital, 9, autosomal dominant	Autosomal dominant	619813	chr11	72285495	72434531
chr11:74,000,277-74,009,085	11q13.4	UCP3	Yes	uncoupling protein 3	602044	{Obesity, severe, and type II diabetes}	Autosomal dominant, Multifactorial, Autosomal recessive	601665	chr11	74000277	74009085
chr11:77,066,971-77,126,155	11q13.5	CAPN5	Yes	calpain 5	602537	Vitreoretinopathy, neovascular inflammatory	Autosomal dominant	193235	chr11	77066971	77126155
chr11:77,128,246-77,215,241	11q13.5	MYO7A	Yes	myosin VIIA	276903	Deafness, autosomal dominant 11	Autosomal dominant	601317	chr11	77128246	77215241
chr11:77,128,246-77,215,241	11q13.5	MYO7A	Yes	myosin VIIA	276903	Deafness, autosomal recessive 2	Autosomal recessive	600060	chr11	77128246	77215241
chr11:77,128,246-77,215,241	11q13.5	MYO7A	Yes	myosin VIIA	276903	Usher syndrome, type 1B	Autosomal recessive	276900	chr11	77128246	77215241
chr11:77,322,017-77,530,009	11q13.5-q14.1	PAK1	Yes	p21 (RAC1) activated kinase 1	602590	Intellectual developmental disorder with macrocephaly, seizures, and speech delay	Autosomal dominant	618158	chr11	77322017	77530009
chr11:78,100,946-78,139,626	11q14.1	ALG8	Yes	ALG8 alpha-1,3-glucosyltransferase	608103	Congenital disorder of glycosylation, type Ih	Autosomal recessive	608104	chr11	78100946	78139626
chr11:78,100,946-78,139,626	11q14.1	ALG8	Yes	ALG8 alpha-1,3-glucosyltransferase	608103	Polycystic liver disease 3 with or without kidney cysts	Autosomal dominant	617874	chr11	78100946	78139626
chr11:78,652,829-79,441,030	11q14.1	TENM4	Yes	teneurin transmembrane protein 4	610084	Essential tremor, hereditary, 5	Autosomal dominant	616736	chr11	78652829	79441030
chr11:86,244,753-86,287,615	11q14.2	EED	Yes	embryonic ectoderm development	605984	Cohen-Gibson syndrome	Autosomal dominant	617561	chr11	86244753	86287615
chr11:86,945,679-86,955,395	11q14.2	FZD4	Yes	frizzled class receptor 4	604579	Exudative vitreoretinopathy 1	Autosomal dominant	133780	chr11	86945679	86955395
chr11:86,945,679-86,955,395	11q14.2	FZD4	Yes	frizzled class receptor 4	604579	Retinopathy of prematurity	Autosomal dominant	133780	chr11	86945679	86955395
chr11:89,177,875-89,295,759	11q14.3	TYR	Yes	tyrosinase	606933	[Skin/hair/eye pigmentation 3, blue/green eyes]	Autosomal dominant	601800	chr11	89177875	89295759
chr11:89,177,875-89,295,759	11q14.3	TYR	Yes	tyrosinase	606933	[Skin/hair/eye pigmentation 3, light/dark/freckling skin]	Autosomal dominant	601800	chr11	89177875	89295759
chr11:89,177,875-89,295,759	11q14.3	TYR	Yes	tyrosinase	606933	{Melanoma, cutaneous malignant, susceptibility to, 8}	Autosomal dominant	601800	chr11	89177875	89295759
chr11:89,177,875-89,295,759	11q14.3	TYR	Yes	tyrosinase	606933	Albinism, oculocutaneous, type IA	Autosomal recessive	203100	chr11	89177875	89295759
chr11:89,177,875-89,295,759	11q14.3	TYR	Yes	tyrosinase	606933	Albinism, oculocutaneous, type IB	Autosomal recessive	606952	chr11	89177875	89295759
chr11:92,969,651-92,984,960	11q14.3	MTNR1B	Yes	melatonin receptor 1B	600804	{Diabetes mellitus, type 2, susceptibility to}	Autosomal dominant	125853	chr11	92969651	92984960
chr11:94,128,841-94,181,968	11q21	PANX1	Yes	pannexin 1	608420	Oocyte/zygote/embryo maturation arrest 7	Autosomal dominant	618550	chr11	94128841	94181968
chr11:101,451,564-101,584,007	11q22.1	TRPC6	Yes	transient receptor potential cation channel subfamily C member 6	603652	Glomerulosclerosis, focal segmental, 2	Autosomal dominant	603965	chr11	101451564	101584007
chr11:102,110,447-102,233,424	11q22.1	YAP1	Yes	Yes1 associated transcriptional regulator	606608	Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development	Autosomal dominant	120433	chr11	102110447	102233424
chr11:102,942,995-102,955,732	11q22.2	MMP13	Yes	matrix metallopeptidase 13	600108	?Spondyloepimetaphyseal dysplasia, Missouri type	Autosomal dominant	602111	chr11	102942995	102955732
chr11:102,942,995-102,955,732	11q22.2	MMP13	Yes	matrix metallopeptidase 13	600108	Metaphyseal anadysplasia 1	Autosomal dominant	602111	chr11	102942995	102955732
chr11:102,942,995-102,955,732	11q22.2	MMP13	Yes	matrix metallopeptidase 13	600108	Metaphyseal dysplasia, Spahr type	Autosomal recessive	250400	chr11	102942995	102955732
chr11:105,609,616-105,982,090	11q22.3	GRIA4	Yes	glutamate ionotropic receptor AMPA type subunit 4	138246	Neurodevelopmental disorder with or without seizures and gait abnormalities	Autosomal dominant	617864	chr11	105609616	105982090
chr11:108,223,067-108,369,102	11q22.3	ATM	Yes	ATM serine/threonine kinase	607585	{Breast cancer, susceptibility to}	Autosomal dominant, Somatic mutation	114480	chr11	108223067	108369102
chr11:108,223,067-108,369,102	11q22.3	ATM	Yes	ATM serine/threonine kinase	607585	Ataxia-telangiectasia	Autosomal recessive	208900	chr11	108223067	108369102
chr11:108,223,067-108,369,102	11q22.3	ATM	Yes	ATM serine/threonine kinase	607585	Lymphoma, B-cell non-Hodgkin, somatic	Autosomal recessive	208900	chr11	108223067	108369102
chr11:108,223,067-108,369,102	11q22.3	ATM	Yes	ATM serine/threonine kinase	607585	Lymphoma, mantle cell, somatic	Autosomal recessive	208900	chr11	108223067	108369102
chr11:108,223,067-108,369,102	11q22.3	ATM	Yes	ATM serine/threonine kinase	607585	T-cell prolymphocytic leukemia, somatic	Autosomal recessive	208900	chr11	108223067	108369102
chr11:110,600,001-121,300,000 (I)	11q23	APOGCDS	Yes	Familial apolipoprotein gene cluster deletion syndrome	620058	Familial apolipoprotein gene cluster deletion syndrome	Autosomal dominant	620058	chr11	110600001	121300000 
chr11:111,908,564-111,923,740	11q23.1	CRYAB	Yes	crystallin alpha B	123590	Cardiomyopathy, dilated, 1II	Autosomal dominant	615184	chr11	111908564	111923740
chr11:111,908,564-111,923,740	11q23.1	CRYAB	Yes	crystallin alpha B	123590	Cataract 16, multiple types	Autosomal dominant, Autosomal recessive	613763	chr11	111908564	111923740
chr11:111,908,564-111,923,740	11q23.1	CRYAB	Yes	crystallin alpha B	123590	Myopathy, myofibrillar, 2	Autosomal dominant	608810	chr11	111908564	111923740
chr11:111,908,564-111,923,740	11q23.1	CRYAB	Yes	crystallin alpha B	123590	Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related	Autosomal recessive	613869	chr11	111908564	111923740
chr11:112,086,873-112,095,794	11q23.1	SDHD	Yes	succinate dehydrogenase complex subunit D	602690	Mitochondrial complex II deficiency, nuclear type 3	Autosomal recessive	619167	chr11	112086873	112095794
chr11:112,086,873-112,095,794	11q23.1	SDHD	Yes	succinate dehydrogenase complex subunit D	602690	Paraganglioma and gastric stromal sarcoma	Autosomal recessive	606864	chr11	112086873	112095794
chr11:112,086,873-112,095,794	11q23.1	SDHD	Yes	succinate dehydrogenase complex subunit D	602690	Pheochromocytoma/paraganglioma syndrome 1	Autosomal dominant	168000	chr11	112086873	112095794
chr11:116,789,367-116,792,420	11q23.3	APOA5	Yes	apolipoprotein A5	606368	{Hypertriglyceridemia, susceptibility to}	Autosomal dominant	145750	chr11	116789367	116792420
chr11:116,789,367-116,792,420	11q23.3	APOA5	Yes	apolipoprotein A5	606368	Hyperchylomicronemia, late-onset	Autosomal dominant	144650	chr11	116789367	116792420
chr11:116,835,751-116,837,950	11q23.3	APOA1	Yes	apolipoprotein A1	107680	Amyloidosis, hereditary systemic 3	Autosomal dominant	620657	chr11	116835751	116837950
chr11:116,835,751-116,837,950	11q23.3	APOA1	Yes	apolipoprotein A1	107680	Hypoalphalipoproteinemia, primary, 2	Autosomal recessive	618463	chr11	116835751	116837950
chr11:116,835,751-116,837,950	11q23.3	APOA1	Yes	apolipoprotein A1	107680	Hypoalphalipoproteinemia, primary, 2, intermediate	Autosomal dominant	619836	chr11	116835751	116837950
chr11:117,820,057-117,828,089	11q23.3	FXYD2	Yes	FXYD domain containing ion transport regulator 2	601814	Hypomagnesemia 2, renal	Autosomal dominant	154020	chr11	117820057	117828089
chr11:118,133,377-118,152,823	11q23.3	SCN4B	Yes	sodium voltage-gated channel beta subunit 4	608256	Atrial fibrillation, familial, 17	Autosomal dominant	611819	chr11	118133377	118152823
chr11:118,133,377-118,152,823	11q23.3	SCN4B	Yes	sodium voltage-gated channel beta subunit 4	608256	Long QT syndrome 10	Autosomal dominant	611819	chr11	118133377	118152823
chr11:118,162,806-118,176,639	11q23.3	SCN2B	Yes	sodium voltage-gated channel beta subunit 2	601327	Atrial fibrillation, familial, 14	Autosomal dominant	615378	chr11	118162806	118176639
chr11:118,436,492-118,526,832	11q23.3	KMT2A	Yes	lysine methyltransferase 2A	159555	Wiedemann-Steiner syndrome	Autosomal dominant	605130	chr11	118436492	118526832
chr11:118,572,409-118,603,033	11q23.3	ARCN1	Yes	archain 1	600820	Short stature-micrognathia syndrome	Autosomal dominant	617164	chr11	118572409	118603033
chr11:118,747,763-118,791,744	11q23.3	DDX6	Yes	DEAD-box helicase 6	600326	Intellectual developmental disorder with impaired language and dysmorphic facies	Autosomal dominant	618653	chr11	118747763	118791744
chr11:119,024,112-119,030,877	11q23.3	SLC37A4	Yes	solute carrier family 37 member 4	602671	Congenital disorder of glycosylation, type IIw	Autosomal dominant	619525	chr11	119024112	119030877
chr11:119,024,112-119,030,877	11q23.3	SLC37A4	Yes	solute carrier family 37 member 4	602671	Glycogen storage disease Ib	Autosomal recessive	232220	chr11	119024112	119030877
chr11:119,024,112-119,030,877	11q23.3	SLC37A4	Yes	solute carrier family 37 member 4	602671	Glycogen storage disease Ic	Autosomal recessive	232240	chr11	119024112	119030877
chr11:119,084,881-119,093,549	11q23.3	HMBS	Yes	hydroxymethylbilane synthase	609806	Encephalopathy, porphyria-related	Autosomal recessive	620704	chr11	119084881	119093549
chr11:119,084,881-119,093,549	11q23.3	HMBS	Yes	hydroxymethylbilane synthase	609806	Leukoencephalopathy, porphyria-related	Autosomal recessive	620711	chr11	119084881	119093549
chr11:119,084,881-119,093,549	11q23.3	HMBS	Yes	hydroxymethylbilane synthase	609806	Porphyria, acute intermittent	Autosomal dominant	176000	chr11	119084881	119093549
chr11:119,084,881-119,093,549	11q23.3	HMBS	Yes	hydroxymethylbilane synthase	609806	Porphyria, acute intermittent, nonerythroid variant	Autosomal dominant	176000	chr11	119084881	119093549
chr11:119,206,339-119,308,149	11q23.3	CBL	Yes	Cbl proto-oncogene	165360	?Juvenile myelomonocytic leukemia	Autosomal dominant, Somatic mutation	607785	chr11	119206339	119308149
chr11:119,206,339-119,308,149	11q23.3	CBL	Yes	Cbl proto-oncogene	165360	Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia	Autosomal dominant	613563	chr11	119206339	119308149
chr11:119,338,942-119,346,705	11q23.3	C1QTNF5	Yes	C1q and TNF related 5	608752	Retinal degeneration, late-onset, autosomal dominant	Autosomal dominant	605670	chr11	119338942	119346705
chr11:121,101,243-121,191,490	11q23.3	TECTA	Yes	tectorin alpha	602574	Deafness, autosomal dominant 8/12	Autosomal dominant	601543	chr11	121101243	121191490
chr11:121,101,243-121,191,490	11q23.3	TECTA	Yes	tectorin alpha	602574	Deafness, autosomal recessive 21	Autosomal recessive	603629	chr11	121101243	121191490
chr11:123,629,188-123,654,624	11q24.1	SCN3B	Yes	sodium voltage-gated channel beta subunit 3	608214	Atrial fibrillation, familial, 16	Autosomal dominant	613120	chr11	123629188	123654624
chr11:123,629,188-123,654,624	11q24.1	SCN3B	Yes	sodium voltage-gated channel beta subunit 3	608214	Brugada syndrome 7	Autosomal dominant	613120	chr11	123629188	123654624
chr11:124,883,691-124,897,865	11q24.2	ROBO4	Yes	roundabout guidance receptor 4	607528	Aortic valve disease 3	Autosomal dominant	618496	chr11	124883691	124897865
chr11:124,919,205-124,936,047	11q24.2	HEPACAM	Yes	hepatic and glial cell adhesion molecule	611642	Megalencephalic leukoencephalopathy with subcortical cysts 2A	Autosomal recessive	613925	chr11	124919205	124936047
chr11:124,919,205-124,936,047	11q24.2	HEPACAM	Yes	hepatic and glial cell adhesion molecule	611642	Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without impaired intellectual development	Autosomal dominant	613926	chr11	124919205	124936047
chr11:125,591,769-125,623,091	11q24.2	STT3A	Yes	STT3 oligosaccharyltransferase complex catalytic subunit A	601134	Congenital disorder of glycosylation, type Iw, autosomal dominant	Autosomal dominant	619714	chr11	125591769	125623091
chr11:125,591,769-125,623,091	11q24.2	STT3A	Yes	STT3 oligosaccharyltransferase complex catalytic subunit A	601134	Congenital disorder of glycosylation, type Iw, autosomal recessive	Autosomal recessive	615596	chr11	125591769	125623091
